"id","name","Sinhala Name","author","translator","language","categoery"
"257","Divya Bojanaya","","H.G.Wells","J.C.Saluwadana","Sinhala","Science Fiction"
"258","Kala Yanaya","","H.G.Wells","David Alponsu","Sinhala","Science Fiction"
"259","Athithayen aa Daruwa","","Izack Asimov","Dammika Senevirathna","Sinhala","Science Fiction"
"260","Samuduru Pathle Sawariyak","","Jules verne","Dhanapala Gunasekara","Sinhala","Science Fiction"
"261","Dolpin Doopatha","","Arthur C. Clarke","J.C.Saluwadana","Sinhala","Science Fiction"
"262","Kethee","","","Vijitha Rajapaksha","Sinhala","Science Fiction"
"263","Angaharu Lokaye  Kumarikawak","","Edgar Rice Burroughs","Prabath MIrihagalla","Sinhala","Science Fiction"
"264","Pitasakwala Demuhumkaranaya","","Asanka Fernando","","Sinhala","Science Fiction"
"265","Kola Pellama","","Kapila Weerasinghe","","Sinhala","Science Fiction"
"266","Aaweshaya","","Manoj Dharmarathna","","Sinhala","Science Fiction"
"267","Mathuyam Dawasaka","","Izack Asimov","S.W.Paranavithana","Sinhala","Science Fiction"
"268","Jurasika Uyane Sathi Atak","","Scott Sinsean","Sudath Rohan","Sinhala","Science Fiction"
"269","Jurasika uyana","","Michael Crichton","Gamini Kumara Vithana","Sinhala","Science Fiction"
"270","Polowa Meda Lokaya","","Edgar Rice Burroughs","Prabath MIrihagalla","Sinhala","Science Fiction"
"271","Peliyusidaraya","","Edgar Rice Burroughs","Prabath MIrihagalla","Sinhala","Science Fiction"
"272","Ubhayajiva","","A. belayef","J.E. Gunasekara","Sinhala","Science Fiction"
"273","Ballekuge Hadawatha","","Mikhail Bulgakov","Gamini Viyangoda","Sinhala","Science Fiction"
"274","Niruwath Hirumandala","","Izack Asimov","Sudath Rohan","Sinhala","Science Fiction"
"275","Awasan Theenduwa","","Manoj Dharmarathna","","Sinhala","Science Fiction"
"276","E.T. (Extra-Terrestrial)","","William Ktzwinkle / Stevan Spielberg","Upali Kannangara","Sinhala","Science Fiction"
"277","Tharu Sangrama","","George Lucas","S.Chandrasiri Dasanayaka","Sinhala","Science Fiction"
"278","Wishwa Sangramaya","","H.G.Wells","Dhanapala Gunasekara","Sinhala","Science Fiction"
"279","Wishwaya Medin Giyagamanak","","Jules verne","Dhanapala Gunasekara","Sinhala","Science Fiction"
"280","Pitasakwala Jeewayak Pawathida","","Thathsarani Bulathsinhala","","Sinhala","Science Fiction"
"281","Antharjalaye Abhirahas Maranaya","","Fansisde Silva","Sugath Wijesinghe","Sinhala","Science Fiction"
"282","Graha lokayaka Winasaya","","A.Kasantsev","Dedigama V Rodrigo","Sinhala","Science Fiction"
"283","Awasan Siddhanthaya","","Arthur C. Clarke","Thatsarani Bulathsinghale","Sinhala","Science Fiction"
"284","Loka Winasaya","","Arthur C. Clarke","S.M. Bandusila","Sinhala","Science Fiction"
"285","Richter 10","","Arthur C. Clarke","Thatsarani Bulathsinghale","Sinhala","Science Fiction"
"286","Chandra Gawesakayo","","Arthur C. Clarke","Thatsarani Bulathsinghale","Sinhala","Science Fiction"
"287","Pruthuvi Adhirajya","","Arthur C. Clarke","Thatsarani Bulathsinghale","Sinhala","Science Fiction"
"288","Kalawakasaye Sirakaruwa","","Dhamitha Nipunajith","","Sinhala","Science Fiction"
"289","Gemburu Muhuda","","Arthur C. Clarke","Cyril C Perera","Sinhala","Science Fiction"
"290","Wismitha Sihina Dakinna","","Dhamitha Nipunajith","","Sinhala","Science Fiction"
"291","2001","","Arthur C. Clarke","S.M. Bandusila","Sinhala","Science Fiction"
"292","2010","","Arthur C. Clarke","S.M. Bandusila","Sinhala","Science Fiction"
"293","2061","","Arthur C. Clarke","S.M. Bandusila","Sinhala","Science Fiction"
"294","3001","","Arthur C. Clarke","S.M. Bandusila","Sinhala","Science Fiction"
"295","Chitta Paraposhithayo","","Colin Wilson","S.M. Bandusila","Sinhala","Science Fiction"
"296","Hitana Pathana Yantra","","S.M.Bandhuseela","","Sinhala","Science Fiction"
"297","Paradisaye Ulpath","","Arthur C. Clarke","S.M. Bandusila","Sinhala","Science Fiction"
"298","Mihikathe Geethaya","","Arthur C. Clarke","S.M. Bandusila","Sinhala","Science Fiction"
"299","Anagathaye Pethikadak","","Arthur C. Clarke","S.M. Bandusila","Sinhala","Science Fiction"
"300","Sanda Madale Sawariyak","","H.G.Wells","Dhanapala Gunasekara","Sinhala","Science Fiction"
"301","Ira Handa Tharu Meda","","Arthur C. Clarke","S.M. Bandusila","Sinhala","Science Fiction"
"302","Rama ","","Arthur C. Clarke","S.M. Bandusila","Sinhala","Science Fiction"
"303","Rama 2","","Arthur C. Clarke","S.M. Bandusila","Sinhala","Science Fiction"
"304","Rama -Anawaranaya","","Arthur C. Clarke","S.M.Bandusila","Sinhala","Science Fiction"
"305","Rama Uyana","","Arthur C. Clarke","S.M.Bandusila","Sinhala","Science Fiction"
"306","Elowin aa Bolaya","","","Dhanapala Gunasekara","Sinhala","Science Fiction"
"307","Migumi","","Prema chandra Rupasinghe","","Sinhala","Science Fiction"
"308","Bebalena Sandawataa","","Jules verne","Sudarman Satharasinghe","Sinhala","Science Fiction"
"309","Wanara Lokaya","","Pierre Bouille","R.B.Athapattu","Sinhala","Science Fiction"
"310","Yelras Urumaya","","Udani Manakala Ekanayaka","","Sinhala","Science Fiction"
"311","wiyaru widyaghnaya","","","Chandana Mendis","Sinhala","Science Fiction"
"312","Nawa padanama","","Izack Asimow","S.M.Bandusila","Sinhala","Science Fiction"
"313","Science Short Story ","","Arthur C. Clarke","S.M.Bandusila","Sinhala","Science Fiction"
"314","Lakdiwa sagara pathla","","Arthur C. Clarke","Mano Fernando","Sinhala","Science Fiction"
"315","X","","Susitha Ruwan","","Sinhala","Science Fiction"
"316","Kalpawasaana Saadaya","","Tharaka kaldera","","Sinhala","Sinhala Novel"
"317","Rawana Meheyuma -1","","Susitha Ruwan","","Sinhala","Science Fiction"
"318","Dangakara Mahalla","","Abid Surathy","D.P Samarasinghe","Sinhala","Indian Translation"
"319","Aranakata Pem Benda","","Vibuthi Bushana Bandyopadya","Chintha Luxmi Sinharachchi","Sinhala","Indian Translation"
"320","Go Danaya","","Prem Chand","Chintha Luxmi Sinharachchi","Sinhala","Indian Translation"
"321","Gora","","Rabindranath Tagore","Chintha Luxmi Sinharachchi","Sinhala","Indian Translation"
"322","Apuge LOkaya","","Vibuthi Bushana Bandyopadya","Chintha Luxmi Sinharachchi","Sinhala","Indian Translation"
"323","Mawathe Geethaya","","Vibuthi Bushana Bandyopadya","Chintha Luxmi Sinharachchi","Sinhala","Indian Translation"
"324","Sayuru Therehi Gammanaya","","Anitha Desai","Cyril Chandrasekara Gunawardana","Sinhala","Indian Translation"
"325","Srikantha","","Sharathchandra Chattopadya","Chintha Luxmi Sinharachchi","Sinhala","Indian Translation"
"326","Srikantha ha Rajalaxmi","","Sarathchandra Chattopadya","Chintha Laxmi Sinharachchi","Sinhala","Indian Translation"
"327","Chamali","","Sing Dungal","Cyril C Perera","Sinhala","Indian Translation"
"328","kerella ha indianu ketikatha","","","boby b botheju","Sinhala","Indian Translation"
"329","Path Sindunu Wasanthaya","","Ba Jin","Hasitha Abewardena","Sinhala","Chinese Translation"
"330","Nawasanda Ha Wenath Katha","","","J.E. Gunasekara","Sinhala","Chinese Translation"
"331","China Sindarella","","Edlin Yen Mah","Susantha Kodithuwakku","Sinhala","Chinese Translation"
"332","Fanshen","","William Hinton","Charles Abeysekara","Sinhala","Chinese Translation"
"333","Ihurunu Diya","","Salley Grindley","Ganga Niroshani Suduwelikanda","Sinhala","Chinese Translation"
"334","Pawula","","Ba Jin","Ananda Kumara","Sinhala","Chinese Translation"
"335","Wana Hansiyo","","Yung Chang","D.M.S.Ariyarathna","Sinhala","Chinese Translation"
"336","Rathu Sogum","","Mo Yan","Chulananda Samaranayaka","Sinhala","Chinese Translation"
"337","Sambhawya China Keti Katha","","Lu Shun","Ananda Kumara","Sinhala","Chinese Translation"
"338","Fontamara","","Ignatsiyo Silone","Malani Govinnage","Sinhala","Italy Translation Novel"
"339","Eta Messa","","E.L.Voyinich","Sugathapala de Silva","Sinhala","Italy Translation Novel"
"340","Makulu Kedellata yana Para","","Italo Calvino","Chulananda Samaranayaka","Sinhala","Italy Translation Novel"
"341","Nawa Thapasikawa","","Giyowanni Arjino","Udaya Prasantha Meddegama","Sinhala","Italy Translation Novel"
"342","Luca","","Ignazio Silone","Indrani Rodrigo","Sinhala","Italy Translation Novel"
"343","Chikige Pasal Samaya","","Chinua Achebe","Cyri C. Perera","Sinhala","African Translation"
"344","Ath Adanguwa","","Ferdinand Oyono","Samarasinghe Gunasekara","Sinhala","African Translation "
"345","Prapathaya","","Chinua Achebe","Ilin Siriwardana","Sinhala","African Translation"
"346","Rathnagaraya","","H. Rider Haggard","Kamalasiri Perera","Sinhala","African Translation"
"347","Mahawil","","Elechi Amadi","Ranjith Amarasekara","Sinhala","African Translation"
"348","Maya Sihinaya","","H. Rider Haggard","Kamalasiri Perera","Sinhala","African Translation"
"349","Dew Hiseraya","","Chinua Achebe","Sena Thoradeniya","Sinhala","African Translation"
"350","Muhuda Goda Gala","","Chinua Achebe","Ariyadasa Somathilaka","Sinhala","African Translation"
"351","Aprikanu wanantharaye Sethapum","","John L. Brom","Sujiwa Disanayaka","Sinhala","African Translation"
"352","Handanu Pembara Deshaya","","Alan Petan","Malani Govinnage","Sinhala","African Translation"
"353","Hatharaweni Thattuwa","","Hilda Bernstein","Sugathapala de Silva","Sinhala","African Translation"
"354","Handanu Mena Nidahasa","","Jhon Braily","Sunil Madhawa Premathiaka","Sinhala","African Translation"
"355","Yadam","","Alex Haley","Saman Wickramarachchi","Sinhala","African Translation"
"356","Aprikanu Maha Himaye","අප්‍රිකානු මහ හිමයේ","Willard Price","Wijayarathna Dolawatta","Sinhala","African Translation"
"357","Wana Uyane Abirahas Dadayama","","Willard Price","Somasiri Liyanage","Sinhala","African Translation"
"358","Mashupa saha n tembi","","Stuwert Celayat","Gunathilaka Nissanka","Sinhala","African Translation"
"359","Ae Hewath Ayesha 1","","H. Rider Haggard","K.G.Karunathilaka","Sinhala","African Translation"
"360","Ae Hewath Ayesha 2","","H. Rider Haggard","K.G.Karunathilaka","Sinhala","African Translation"
"361","Ayesha Apasu Eyi","","H. Rider Haggard","K.G.Karunathilaka","Sinhala","African Translation"
"362","Ae Saha Allan","","H. Rider Haggard","Chandra Anagirathne","Sinhala","African Translation"
"363","Pragnawe Diyaniya Ayesha","","H. Rider Haggard","S.Chandrasiri Dasanayaka","Sinhala","African Translation"
"364","Meedume Minissu","","H. Rider Haggard","S.Chandrasiri Dasanayaka","Sinhala","African Translation"
"365","Allan Saha Pujaniya Pushpaya","","H. Rider Haggard","S.Chandrasiri Dasanayaka","Sinhala","African Translation"
"366","Arunodaye Rejina","","H. Rider Haggard","S.Chandrasiri Dasanayaka","Sinhala","African Translation"
"367","Amen Deviyage Diyaniya","","H. Rider Haggard","S.Chandrasiri Dasanayaka","Sinhala","African Translation"
"368","Allan saha Ayis Devivaru","","H. Rider Haggard","S.Chandrasiri Dasanayaka","Sinhala","African Translation"
"369","Dry, The","","Jane Harper","","English","English Novel"
"370","Lost Symbol, The","","Dan Brown","","English","English Novel"
"371","Fight Club","","Chuck palahniuk","","English","English Novel"
"372","Jane eyre","","Charlotte Bronte","","English","English Novel"
"373","Wonderland","","Joanna Nadin","","English","English Novel"
"374","Heartless","","Marissa Meyer","","English","English Novel"
"375","Who let the gods out","","Maz Evans","","English","English Novel"
"376","Journal of curios letters","","James Dashner","","English","English Novel"
"377","Hunt for dark infinity","","James Dashner","","English","English Novel"
"378","Dragon Teeth","","Michael Crichton","","English","English Novel"
"379","X-files, Agent of chaos","","Kami garcia","","English","English Novel"
"380","Someday Birds","","Sally J Plarke","","English","English Novel"
"381","All the lights we cannot see","","Anthony Doer","","English","English Novel"
"382","Road from Elephsnt pass","","Nihal De Silva","","English","English Novel"
"383","There is something i have to tell you","","Madubhashini Dissanayake Rathnayake","","English","English Novel"
"384","Forgetting Spell","","Lauren Myracle","","English","English Novel"
"385","Deception","","Roald dhal","","English","English Novel"
"386","Half Girl Friend","","Chethan Bugeth","","English","English Novel"
"387","Foundation","","Isaac Asimov","","English","English Novel"
"388","One Night at the call center","","Chethan Bhagath","","English","English Novel"
"389","Revolution","","Chethan Bhagath","","English","English Novel"
"390","Faraway tree","","Enid Blyton","","English","English Novel"
"391","Asu thuna akase","","Gaya Ramya Alwis","","Sinhala","Poetry"
"392","Themi Themima Mama","","Damith Udayanga Dahayanake","","Sinhala","Poetry"
"393","Numba Noye Nm Kiyanna ","","Saumya Sandamali Liyanage","","Sinhala","Poetry"
"394","Pata Pahak","","Chaminda Gunarathne","","Sinhala","Poetry"
"395","Niribatha","","K,Jayathilake","","Sinhala","Poetry"
"396","Prabuddha","","Mahagamasekars","","Sinhala","Poetry"
"397","Ae Viplawa Nokalaya","","Chaminda Gunarathne","","Sinhala","Poetry"
"398","Sulanga saha Rathu Mal Gasa","","Kanchana Priyakanth","","Sinhala","Poetry"
"399","Lilak","","Yesha Fernando","","Sinhala","Poetry"
"400","Kandulu Mitiyawathin","","Darshana Medis","","Sinhala","Poetry"
"401","Wassane","","Rathnath Sri Vijesinghe","","Sinhala","Poetry"
"402","Sathya Siragath U Bawin","","Chandrani Gunawardhana","","Sinhala","Poetry"
"403","Pas kandaka Husma Ganimi","","Sampath Kuruppu Arachchi","","Sinhala","Poetry"
"404","Pathirunu vAnduru Pathanehi","","G. Sirivimala Himi","","Sinhala","Poetry"
"405","Hithe ketuu Tatoo","","Indika Gunawardhana","","Sinhala","Poetry"
"406","Alawaka Alingana","","Chaminda Gunarathne","","Sinhala","Poetry"
"407","Premaye Karthu","","KanchanaAmilani","","Sinhala","Poetry"
"408","Indikatu Thudaka Pipip Malak","","Chathuranga Dissanayake","","Sinhala","Poetry"
"409","Wassatath Nathi Lihini","","Charith Gunarathne","","Sinhala","Poetry"
"410","Wenas Ekek","","Nalinda Sanjeewa","","Sinhala","Poetry"
"411","Hate watte Maddalena","","Saumya Sandaruwan Liyanage","","Sinhala","Poetry"
"412","Tharu As Rahas","","Tharangani Rasika Fernando","","Sinhala","Poetry"
"413","Wadiyenma Waradune Kaviyanta","","Lakshan Maduranga ","","Sinhala","Poetry"
"414","Sudo Sudu","","K.A.S","","Sinhala","Poetry"
"415","Maye Amme Yamu Yanta","","Darmasiri Benadic","","Sinhala","Poetry"
"416","Akurak Hoyami","","Nayanaseka Wanninayake","","Sinhala","Poetry"
"417","Ehetath Wahinawa Athi","","Sandun Priyankara Vithanage","","Sinhala","Poetry"
"418","Ahi Pihan Aharila","","Mahinda Prasad Masimbula","","Sinhala","Poetry"
"419","Galu Para diga Haluna","","Dominic ChandraSAli","","Sinhala","Poetry"
"420","Sanda Maranthikai","","Shyama Devika","","Sinhala","Poetry"
"421","Drohin Ona kara Thibe","","Ashan Weerasinghe","","Sinhala","Poetry"
"422","Itha Keti Kalabala Sihina","","Yashoda Sammani","","Sinhala","Poetry"
"423","Aluthma Sihinaya","","Monika Ruwanpathirana","","Sinhala","Poetry"
"424","Nihandawama Galana Ganga","","Wasantha Priyankara","","Sinhala","Poetry"
"425","Oba Gamburu Nindaka","","Malathi Kalpana","","Sinhala","Poetry"
"426","Shantha Bastian Vidiya","","Amarasiri Hettige","","Sinhala","Poetry"
"427","Premayak Oba Vithara","","Hashan Abegunarathne","","Sinhala","Poetry"
"428","Handagiriya","","Ruwan Weerathunga","","Sinhala","Poetry"
"429","Thetha Sulan Ahurak","","Thanuja Lumbini","","Sinhala","Poetry"
"430","Ehala Amathumakata Aharemi","","Manjula Wediwardhane","","Sinhala","Poetry"
"431","Ae","","H.M. Kudaligama","","Sinhala","Poetry"
"432","Wiramayakata Pasuwa Hamuwemu","","Gayan Idula Kodithuwakku","","Sinhala","Poetry"
"433","Kolombo Yugaye Kaviyo","","Jayasena Huruluwewa","","Sinhala","Poetry"
"434","Apa dedena Meda Maha Muhuda","","Isuru Chamara","","Sinhala","Poetry"
"435","Rahiyane Raya Geuni","","Priyalal Koggalage","","Sinhala","Poetry"
"436","Yannm Chandare","","Pemrani Keerthi","","Sinhala","Poetry"
"437","Sandagira Pamula","","Rantha sri Wijesinghe","","Sinhala","Poetry"
"438","Ithiru una Pitu Kihipayak","","Niroshan Wijesinghe","","Sinhala","Poetry"
"439","Samahara Kamatahan","","Lakshantha Athukorala","","Sinhala","Poetry"
"440","Apuru Iskole Apuru Dawas","","Enid Blyton","Sudath Rohan","Sinhala","English Children's Stories"
"441","Apuru Iskole Apuru Soyuriyo","","Enid Blyton","Sudath Rohan","Sinhala","English Children's Stories"
"442","Apuru Iskole Soyuriyange Apuru Rahas","","Enid Blyton","Sudath Rohan","Sinhala","English Children's Stories"
"443","Apuru Iskole Gimhana Kale","","Enid Blyton","Sudath Rohan","Sinhala","English Children's Stories"
"444","Apuru Iskole Bihisunu Reyak","","Enid Blyton","Sudath Rohan","Sinhala","English Children's Stories"
"445","Apuru Iskole Deweni waraya","","Enid Blyton","Sudath Rohan","Sinhala","English Children's Stories"
"446","Apuru Iskole Apuru Sadaya","","Enid Blyton","Sudath Rohan","Sinhala","English Children's Stories"
"447","Apuru Iskole Apuru Mithuriya","","Enid Blyton","Sudath Rohan","Sinhala","English Children's Stories"
"448","Apuru Iskole Rathri Sawariya","","Enid Blyton","Sudath Rohan","Sinhala","English Children's Stories"
"449","Apuru Iskole Hima Midena kale","","Enid Blyton","Sudath Rohan","Sinhala","English Children's Stories"
"450","Govigedara Niwaduwak","","Enid Blyton","Sudath Rohan","Sinhala","English Children's Stories"
"451","Melori Towers Balika Viduhala","","Enid Blyton","Chandra Anagirathne","Sinhala","English Children's Stories"
"452","Punchi Amatharaya","","Dick King smith","Chitra I perera","Sinhala","English Children's Stories"
"453","Coral Doopatha","","R.M.Ballantyne","Eddiy Fernando","Sinhala","English Children's Stories"
"454","Inka Nidanaya","","Capton W.E. Jhons","P.B.Senanayaka","Sinhala","English Children's Stories"
"455","Thomas kemp ge Awatharaya","","Penylope Lively","Chithra.I.Perera","Sinhala","English Children's Stories"
"456","Lama Kollaya","","R.L. Stevenson","Padmasena Pathirage","Sinhala","English Children's Stories"
"457","Sengawunu Umagaka Bihisunu Wickramaya","","","Ariyananda Dombagahawatta","Sinhala","English Children's Stories"
"458","Digamesdanalage Pipi","","Astrid Lindgren","Sarath Kellapatha","Sinhala","English Children's Stories"
"459","Pipi new Nagi","","Astrid Lindgren","Sarath Kellapatha","Sinhala","English Children's Stories"
"460","Pipige Daksina Sagara Charikawa","","Astrid Lindgren","Sarath Kellapatha","Sinhala","English Children's Stories"
"461","Danga Malla saha Amuthu Iskolaya","","Enid Blyton","Ganga Niroshani Suduwelikanda","Sinhala","English Children's Stories"
"462","Dangamallage Danga Weda","","Enid Blyton","Ganga Niroshani Suduwelikanda","Sinhala","English Children's Stories"
"463","Honda Dangamalla","","Enid Blyton","Ganga Niroshani Suduwelikanda","Sinhala","English Children's Stories"
"464","Wana aranaka kuda niwasa","","Laura Ingalls Wilder","Ganga Niroshani Suduwelikanda","Sinhala","English Children's Stories"
"465","Thenitalawe Pihiti Kuda Niwasa","","Laura Ingalls Wilder","Ganga Niroshani Suduwelikanda","Sinhala","English Children's Stories"
"466","Midi oya Asabada","","Laura Ingalls Wilder","Ganga Niroshani Suduwelikanda","Sinhala","English Children's Stories"
"467","Ridi Wilthera","","Laura Ingalls Wilder","Ganga Niroshani Suduwelikanda","Sinhala","English Children's Stories"
"468","Sithalen Seethawunu Seethasamaya","","Laura Ingalls Wilder","Ganga Niroshani Suduwelikanda","Sinhala","English Children's Stories"
"469","Thenithalawe Pihiti Kuda nagaraya","","Laura Ingalls Wilder","Ganga Niroshani Suduwelikanda","Sinhala","English Children's Stories"
"470","Me Mihirethi Sonduru Samaya","","Laura Ingalls Wilder","Ganga Niroshani Suduwelikanda","Sinhala","English Children's Stories"
"471","Palamu Siwwasara","","Laura Ingalls Wilder","Ganga Niroshani Suduwelikanda","Sinhala","English Children's Stories"
"472","Appal Suwanda Musuwu Gowi Bima","","Roger Lea Macbride","Chithra Amarasekara","Sinhala","English Children's Stories"
"473","Asswanu Samaye Purahada","","Roger Lea Macbride","Chithra Amarasekara","Sinhala","English Children's Stories"
"474","Kandumudune Sonduru Niwasa","","Roger Lea Macbride","Chithra Amarasekara","Sinhala","English Children's Stories"
"475","Beeas and Ramona","","Beverly Cleary","Ganga Niroshani Suduwelikanda","Sinhala","English Children's Stories"
"476","Karadarakara Ramona","","Beverly Cleary","Ganga Niroshani Suduwelikanda","Sinhala","English Children's Stories"
"477","Rooth","","Alice B. Emerson","Sudath Rohan","Sinhala","English Children's Stories"
"478","Pollyana","","Eleanor H Porter","Kathyana Amarasinghe","Sinhala","English Children's Stories"
"479","Sathuta Bedana Pollyana","","Eleanor H Porter","Kathyana Amarasinghe","Sinhala","English Children's Stories"
"480","Jimi saha Pollyana","","Eleanor H Porter","Kathyana Amarasinghe","Sinhala","English Children's Stories"
"481","Metilda","","Roald Dahl","Upali Ubayasekara","Sinhala","English Children's Stories"
"482","Mandy","","Jacqueline wilson","Manel Jayanthi Gunasekara","Sinhala","English Children's Stories"
"483","Duganda Mama","","David Walliams","Kathyana Amarasinghe","Sinhala","English Children's Stories"
"484","Dath Rassi","","David Walliams","Arjuna Jayakody","Sinhala","English Children's Stories"
"485","Rakusu Nenda","","David Walliams","Kathyana Amarasinghe","Sinhala","English Children's Stories"
"486","Duvili Kella","","David Walliams","Upali Ubayasekara","Sinhala","English Children's Stories"
"487","Hairankara achchi","","David Walliams","Kathyana Amarasinghe","Sinhala","English Children's Stories"
"488","Gawum Enda Denis","","David Walliams","Upali Ubayasekara","Sinhala","English Children's Stories"
"489","Chali saha Aruma Puduma Chocolate factory","","Roald Dahl","Upali Ubayasekara","Sinhala","English Children's Stories"
"490","Chali saha Aruma Puduma Viduru Sopanaya","","Roald Dahl","Upali Ubayasekara","Sinhala","English Children's Stories"
"491","Ibbekuge Kathawa","","Roald Dahl","Thompson A. Wendabona","Sinhala","English Children's Stories"
"492","Georg ge Aruma Puduma Beheth Vadiya","","Roald Dahl","Samarasinghe Gunasekara","Sinhala","English Children's Stories"
"493","Nomekena Mathaka satahan","","Roald Dahl","Crisanthi Vitharana","Sinhala","English Children's Stories"
"494","Mayakariyo","","Roald Dahl","Samarasinghe Gunasekara","Sinhala","English Children's Stories"
"495","Mamiyo","","Roald Dahl","S.Nandalal","Sinhala","English Children's Stories"
"496","Jirapui, Pelyi, Mayi","","Roald Dahl","Thompson A. Wendabona","Sinhala","English Children's Stories"
"497","Punchi Mejikkari","","Roald Dahl","Upali Ubayasekara","Sinhala","English Children's Stories"
"498","Narihamige Apuru weda","","Roald Dahl","Melani Amarasooriya","Sinhala","English Children's Stories"
"499","Aruma Puduma Peech Gediya","","Roald Dahl","Upali Ubayasekara","Sinhala","English Children's Stories"
"500","Pissu Gedara Eththo","","Roald Dahl","Sudath Rohan","Sinhala","English Children's Stories"
"501","Biliyaneyar joe","","David Walliams","Upali Ubayasekara","Sinhala","English Children's Stories"
"502","Mediyam Re kalliya","","David Williams","Upali Ubayasekara","Sinhala","English Children's Stories"
"503","Seeya palayayi","","Devid williams","Upali Ubayasekara","Sinhala","English Children's Stories"
"504","Ladaruwiye Katha","","Roald Dahl","Upali Ubayasekara","Sinhala","English Children's Stories"
"505","Chokalat una","","Robert Kimmel Smith","S. Ruwinika Perera","Sinhala","English Children's Stories"
"506","Lassana wasilissa","","Alexader Appasave","Dedigama V.Rudrigu","Sinhala","English Children's Stories"
"507","Napurau palakayo 3den","","Yuri olesha","Dedigama V.Rudrigu","Sinhala","English Children's Stories"
"508","Kochchi gedara daruwo","","Gertrude warner","Sudath Rohan","Sinhala","English Children's Stories"
"509","Lonnaberiye Emil","","Astrid Lindgren","Vijitha Gunarathne","Sinhala","English Children's Stories"
"510","Gedara yana atharamaga","","Loara Engels Wilder","Ganga niroshani suduwelikanda","Sinhala","English Children's Stories"
"511","Nithyage scoole","","Nicholay Nosol","Mahinda senarath gamage","Sinhala","English Children's Stories"
"512","Yoda pawle agutumitta","","Muncle trogg","Gunathilake Matiyage","Sinhala","English Children's Stories"
"513","Hari puduma skole","","Tetsuko kuroyanagi","Leelananda Gamarachchi","Sinhala","English Children's Stories"
"514","Billy and minipinks","","Roald dhal","Upali Ubayasekara","Sinhala","English Children's Stories"
"515","Alice in wanderland","","Lewis Carroll","Sudas maskorala","Sinhala","English Children's Stories"
"516","Tharuna weerayo 1","","Franklin W.Dickson","Leelananda Gamarachchi","Sinhala","English Children's Stories"
"517","Issunboshi","","","Chandra Munasingha","Sinhala","English Children's Stories"
"518","Omochi for new year","","","Kusuma Karunarathne","Sinhala","English Children's Stories"
"519","Punchi Weerayo 1","","Enid Blyton","Leelananda Gamachchi","Sinhala","English Children's Stories"
"520","Punchi Weerayo 7","","Enid Blyton","Leelananda Gamachchi","Sinhala","English Children's Stories"
"521","Sengawunu Deshaya","","Willard Price","Ariyananda Dombagahawatta","Sinhala","English Children's Stories"
"522","Wanduru Wesmuhuna","","Franklin W Dixon","Leelananda Gamachchi","Sinhala","English Children's Stories"
"523","Harry Potter Saha Maya Gala","","J.K.Rowling","Abaya Hewawasam","Sinhala","English Children's Stories"
"524","Sonduru Bale Gewunu Kale","","Alexander Rasking","Randika Ranaweera","Sinhala","English Children's Stories"
"525","Kochchiye lamai","","Edith Nesbit","Chandra Anagirathne","Sinhala","English Children's Stories"
"526","Moko","","Jostein Gaarder","Upali Ubayasekara","Sinhala","English Children's Stories"
"527","Tom Sawyer","","Mark Twain","Chandra Anagirathne","Sinhala","English Children's Stories"
"528","Huckleberryge Hapankam","","Mark Twain","Chandra Anagirathne","Sinhala","English Children's Stories"
"529","Maya Kele Haskam","","Enid Blyton","Nadee Kammlaweera","Sinhala","English Children's Stories"
"530","Nil Diyamanthi Abirahasa","","Chandana Mendis","","Sinhala","English Children's Stories"
"531","Abirhas Dupathe Nidhanaya","","Chandana Mendis","","Sinhala","English Children's Stories"
"532","Shissathwaya","","T.B. Ilangarathna","","Sinhala","English Children's Stories"
"533","vilambeetha","","T.B. Ilangarathna","","Sinhala","English Children's Stories"
"534","Thilaka","","T.B. Ilangarathna","","Sinhala","English Children's Stories"
"535","Thilaka ha Thilakaa","","T.B. Ilangarathna","","Sinhala","English Children's Stories"
"536","Golu Deriya","","Chandrarathna Manawasinghe","","Sinhala","English Children's Stories"
"537","Japan Ginisiluwa","","","Gamini Samarakoon","Sinhala","English Children's Stories"
"538","Nikithiyamos","","Niranjaya Rathnayaka","","Sinhala","English Children's Stories"
"539","Wana gatha Lamo","","Don Peter ","","Sinhala","English Children's Stories"
"540","Hina Yana Kathawak","","Samarasinghe Gunasekara","","Sinhala","English Children's Stories"
"541","Lama Hapannu","","Rajendra Bandara","","Sinhala","English Children's Stories"
"542","Sandawathiya Polawata ei","","K,k Samankumara","","Sinhala","English Children's Stories"
"543","Yapahath Yathrikaya","","Captain meriate","Ananda Kumara","Sinhala","English Children's Stories"
"544","Lama lowe sawariya","","Chandra Darmadasa","","Sinhala","English Children's Stories"
"545","Nil Rawla saha Thawath grim Katha","","Grim brothers","Kasun irugal Bandara","Sinhala","English Children's Stories"
"546","Kuriru Surangana Kathawak","","Piyal Kariyawasam","","Sinhala","Sinhala Short Stories"
"547","Dimiya","","Anurasiri Hettige","","Sinhala","Sinhala Short Stories"
"548","Husma Ganna Akuru","","Ranjith Kumara Samarakoon","","Sinhala","Sinhala Short Stories"
"549","Goduru Loba","","A.V.Suraweera","","Sinhala","Sinhala Short Stories"
"550","Paliganeema","","G.B.Senanayake","","Sinhala","Sinhala Short Stories"
